stage_id,stage,record,required_or_visible_fields,execution_meaning,source_id,target_status,permitted_inference,forbidden_inference
CP135_11,BCRA_MOVEMENT_AND_BALANCE_RETURN,Archivos de movimientos y saldos bancarios recibidos,cuenta; fecha valor; débito/crédito; importe; moneda; referencia; saldo,Huella bancaria separada de la instrucción,e0_cgn_cuenta_inversion_2008_tomo_ii_tgn_system_files,2008_RECORD_CLASS_PROVED_TARGET_MOVEMENT_OPEN,Exigir movimiento y saldo que permitan conciliar el eventual pago.,Todo archivo de movimiento corresponde a la recompra.
CP135_12,TARGET_PAYMENT_STATE_CLOSE,C-41 + SDPGB/SDPAG + instrucción + movimiento + ajuste,71597;152677;2876; P/R/A; fecha; beneficiario; banco/cuenta; medio; instrucción; movimiento; C-55 si aplica,Cadena mínima reforzada para pago efectivo,e0_cgn_cuenta_inversion_2008_sdp;e0_tgn_circular_7_1997_daily_paid_files;e0_cgn_circular_34_1997_sdpgb_paid_beneficiary_schema;e0_cgn_cuenta_inversion_2008_tomo_ii_tgn_system_files,OPEN,Ahora se conocen los campos y clases documentales exactos a solicitar.,Esquema y capacidad equivalen a resultado target.
CP136_13,LEGACY_SIDIF_ENVIRONMENT,SIDIF Central/TRANSAF y salidas legacy o sucesoras,sistema productor; módulo; nombre de archivo; fecha; SAF; OB,Identifica el entorno que procesó la orden,e0_cgn_circular_07_2008_transaf_entes_transition;e0_cgn_account_2008_esidif_module_scope;e0_cgn_account_2009_esidif_payments_development;e0_cgn_account_2010_esidif_spending_rollout;e0_cgn_account_2011_esidif_saf356_first_spending,2008_LEGACY_SIDIF_CENTRAL_ENVIRONMENT_PROVED_FILENAME_CONTINUITY_OPEN,Buscar primero en SIDIF Central/TRANSAF y aceptar el sucesor funcional de SDPGB/SDPAG.,Afirmar que e-SIDIF Gastos procesó las tres órdenes en 2008 o que el nombre de archivo no cambió.
CP136_14,C41_PAPER_AND_DAILY_LIST,Copia papel C-41 y lista diaria firmada de selección,fecha; SAF; número de orden; beneficiario; importe; firma responsable,Paquete documental de presentación/selección,e0_cgn_tgn_joint_disposition_13_16_2009_payment_records,2009_SUCCESSOR_RECORD_CLASS_TARGET_2008_APPLICABILITY_OPEN,Pedir esas clases o sus equivalentes contemporáneos en AGAN.,Aplicar automáticamente a 2008 la disposición de 2009.
CP136_15,PARTIAL_PAYMENT_HISTORY,Pagos parciales previos a caducidad,importe original; cada pago; fecha; saldo; caducidad; anulación,"Distingue pago total, parcial y saldo impago",e0_cgn_disposition_54_2008_order_expiry_partial,EXACT_2008_STATE_RULE_TARGET_HISTORY_OPEN,Exigir serie de movimientos e importe acumulado por OB.,Un código P aislado prueba cancelación total.
CP136_16,AGAN_AMIDDF_RETRIEVAL,"Originales, imágenes e índice documental financiero",signatura; caja; cuerpo; folios; tipo documental; fecha; SAF; número SIDIF; imagen,Ruta directa al respaldo material,e0_agan_current_archive_services;e0_amiddf_financial_document_images;e0_cgn_disposition_20_2007_agan_quality,DIRECT_CUSTODIAN_ROUTE_PROVED_TARGET_HOLDINGS_NOT_QUERIED,"Solicitar búsqueda por los tres SIDIF, cuenta, importe y SAF.",La competencia general del archivo prueba que conserva esas piezas concretas.
CP136_17,TARGET_EXECUTION_CLOSE,C-41 + lista + estado + pagos parciales + instrucción + movimiento + respaldo AGAN,71597;152677;2876;importe original;pagos acumulados;saldo;fecha;beneficiario;banco/cuenta;signatura,Cadena suficiente para pago total/parcial o no pago,e0_cgn_disposition_54_2008_order_expiry_partial;e0_cgn_tgn_joint_disposition_13_16_2009_payment_records;e0_agan_current_archive_services;e0_amiddf_financial_document_images,OPEN,"La próxima acción útil es archivística y registral, no otra inferencia desde la referencia contable.","Confundir orden, selección, pago parcial o custodia con ejecución total."
CP137_18,TARGET_PRODUCER,SAF 355 · Dirección de Administración de la Deuda Pública,SAF355;Jurisdicción90;ejercicio2008,Productor archivístico exacto,e0_cgn_cuenta_inversion_2008_sdp;e0_cgn_account_2008_saf355_356_crosswalk;e0_argentina_decree_1344_2007_original_finance_rule,CLOSED,"Buscar en el fondo SAF355, no SAF356 alternativo.",Que el custodio actual sea necesariamente el SAF.
CP137_19,AMIDDF_REMITTANCE_INDEX,Planilla de Remisión y tejuelo,productor;serie;subserie;ejercicio;caja;tipo;número;desafectación;firmas,Convierte localizador SIDIF en signatura/caja,e0_cgn_disposition_46_1998_amiddf_annex;e0_cgn_disposition_46_1998_amiddf_remittance_form,SCHEMA_PROVED_TARGET_INDEX_OPEN,Pedir primero la copia/exportación existente de planillas SAF355/2008/Otros Gastos.,Inventar N° de caja o expediente.
CP137_20,PAGADOR_CLASSIFICATION,"Pagador, fuente y clase de gasto",PAGADOR TGN/SAF;fuente;partida;concepto;importe individual,Determina circuito aplicable,e0_argentina_decree_1344_2007_original_finance_rule;e0_tgn_manual_system_treasury_v1,PUBLIC_DEBT_RULE_PROVED_TARGET_FIELDS_OPEN,Deuda pública va por TGN cualquiera sea el monto bajo el régimen probado.,Que el título agregado de la cuenta clasifique por sí solo cada registro.
CP137_21,PAPER_TRAIL,C-41/formulario papel si correspondía,TRANSAF;fecha confirmación;recepción CGN;tipo;número;caja,Respaldo material condicionado,e0_cgn_circular_19_1995_transaf_paper_timing;e0_cgn_circular_33_1995_paper_form_scope;e0_cgn_tgn_joint_disposition_13_16_2009_payment_records,HIGH_PRIORITY_TARGET_APPLICABILITY_NOT_CLOSED,Buscar el papel y su remisión.,Afirmar presentación individual sin planilla o sello.
CP137_22,TOTAL_PARTIAL_DISTRIBUTION,Reporte de Distribución Diaria de Pagos,importe devengado;total/parcial;monto/porcentaje;fecha,Define denominador y fracción seleccionada,e0_tgn_manual_system_treasury_v1,RECORD_CLASS_PROVED_TARGET_OPEN,Exigir reporte y saldo antes de calificar pago total.,Estado P aislado equivale a saldo cero.
CP137_23,BANK_FEE_AUTOMATIC_DEBIT_BRANCH,Extracto CUT + código de movimiento + regularización,fecha valor;código;débito;importe;cuenta;formulario;conciliación,Ruta propia de gastos bancarios,e0_tgn_manual_system_treasury_v1,ALTERNATIVE_TARGET_BRANCH_OPEN,Buscar esta rama por tratarse de COMISIONES BANCO NACION.,Sustituirla por una C-41 presumida.
CP137_24,PUBLIC_DEBT_NOTE_BCRA_BRANCH,Lote/Archivo de Notas de Pago y acuse BCRA,nota;lote;archivo;fecha;importe;acuse;Libro Banco,Ruta de obligaciones de deuda pública,e0_tgn_manual_system_treasury_v1,ALTERNATIVE_TARGET_BRANCH_OPEN,Buscar si el concepto individual fue obligación de deuda.,Confundir recepción de archivo con cancelación final.
CP137_25,TARGET_BIFURCATED_CLOSE,Tipo documental + rama aplicable + pago/regularización + conciliación,71597;152677;2876;tipo;importe original;pagos/débitos;estado;saldo;medio;rendición;conciliación,Cierre verificable sin prejuzgar formulario,multiple_primary_sources,OPEN,La primera respuesta debe clasificar especie y circuito; luego se cierra ejecución.,"Confundir renglón anual, orden, selección, transmisión o débito no conciliado con pago total."
CP138_26,SICHE_AUTHORITY,Resolución SH 53/2024,SC;SLU;filtros;exportación,Ruta actual única,e0_argentina_resolution_53_2024_siche,ROUTE_PROVED,SICHE debe consultarse.,SICHE contiene necesariamente cada target.
CP138_27,TYPE_NARROWING,Ingreso N° SIDIF SLU,C41;C42;C55,Conjunto histórico SLU; la búsqueda general sin tipo y C35 de SC se controlan aparte,e0_dgsiaf_slu_sidif_number_input_2003,SLU_THREE_CANDIDATES_NOT_EXHAUSTIVE,"Dentro de SLU, probar C41/C55 y luego C42; no excluir otros dominios de SC.",Uno está confirmado.
CP138_28,C55_MECHANISM_CANDIDATE,C55-REG,Débito Directo;comisión;cuenta,Hipótesis líder de mecanismo,e0_dgsiaf_slu_global_regularization_2004,OPEN_DUAL_PRIORITY_1B,Coincidencia específica del mecanismo bancario.,Los tres SIDIF son C55.
CP138_29,C41_DOCUMENT_TYPE_CANDIDATE,C41 y cuerpo/estado,BNA/BCRA;cuenta de gastos,Hipótesis líder de tipo documental,e0_cgn_cuenta_inversion_2010_sdp,OPEN_DUAL_PRIORITY_1A,El comparador 2010 repite cuenta y leyenda con C41 explícito.,Los tres SIDIF 2008 son C41.
CP138_30,C42_CANDIDATE,C42,AXT;no presupuestario,Hipótesis de menor prioridad,e0_dgsiaf_slu_sidif_number_input_2003,OPEN_LOW_PRIORITY,No excluido hasta ver tipo.,La partida presupuestaria prueba C42.
CP138_31,EXPENSE_EXPORT,gastos_01.rep,tipo;documento;beneficiario;pagado;regularizado,Resuelve cabecera e ítems,e0_dgsiaf_slu_expense_reports_2003,TARGET_EXPORT_OPEN,Salida preexistente solicitada.,Pagado informativo cierra ejecución.
CP138_32,PAYMENT_EXPORT,pagos_04.rep/F80,OP;pagador;beneficiario;pagado,Vincula pago,e0_dgsiaf_slu_payment_reports_2003,TARGET_EXPORT_OPEN,Salida preexistente solicitada.,F80 cierra conciliación bancaria.
CP138_33,BANK_RECONCILIATION_EXPORT,conc_01.rep+conc_02.rep,extracto;Libro Banco;estado;saldo,Cruce bancario-contable,e0_dgsiaf_slu_bank_reconciliation_reports_2002,TARGET_EXPORT_OPEN,Ambas caras son necesarias.,Una cara sustituye la otra.
CP138_34,TARGET_TYPE_AND_PAYMENT_CLOSE,exportación SICHE + respaldo,tipo;subtipo;importe;historia;conciliación,Cierre discriminante,e0_argentina_resolution_53_2024_siche,OPEN,Sólo el registro decide rama y ejecución.,El ranking cualitativo es prueba.
