control_id,source_id,printed_page,pdf_page,rendered_check,result,inference_limit
PV153_103,e0_sigen_instruction_2_2008_account_2008_certification,5,5,"cuerpo, anexos y modelo de certificación",PASS,modelo/procedimiento; no certificado SAF355
PV153_104,e0_sigen_instruction_2_2008_account_2008_certification,6,6,"cuerpo, anexos y modelo de certificación",PASS,modelo/procedimiento; no certificado SAF355
PV153_105,e0_sigen_instruction_2_2008_account_2008_certification,7,7,"cuerpo, anexos y modelo de certificación",PASS,modelo/procedimiento; no certificado SAF355
PV153_106,e0_sigen_instruction_2_2008_account_2008_certification,8,8,"cuerpo, anexos y modelo de certificación",PASS,modelo/procedimiento; no certificado SAF355
PV153_107,e0_sigen_instruction_2_2008_account_2008_certification,9,9,"cuerpo, anexos y modelo de certificación",PASS,modelo/procedimiento; no certificado SAF355
PV153_108,e0_sigen_instruction_2_2008_account_2008_certification,10,10,"cuerpo, anexos y modelo de certificación",PASS,modelo/procedimiento; no certificado SAF355
PV153_109,e0_sigen_instruction_2_2008_account_2008_certification,11,11,"cuerpo, anexos y modelo de certificación",PASS,modelo/procedimiento; no certificado SAF355
PV153_110,e0_sigen_white_book_2012_account_2008_report_inventory,XVIII,52,"inventario de informes, contexto previo",PASS,inventario; no cuerpo
PV153_111,e0_sigen_white_book_2012_account_2008_report_inventory,XIX,53,continuidad del inventario,PASS,contexto
PV153_112,e0_sigen_white_book_2012_account_2008_report_inventory,XX,54,"fila Ministerio Economía, 2009, GSEPyPF, Cuenta 2008",PASS,"no número, cuerpo ni SAF355"
PV154_113,e0_sigen_if_2020_annex_a_bank_certification_comparator,1,1,"objeto, remisión, expediente y fuentes",PASS,SAF109/2019; no target
PV154_114,e0_sigen_if_2020_annex_a_bank_certification_comparator,2,2,"certificación, SAF, firma y fecha",PASS,agregado; no movimiento individual
PV154_115,bundle_sigen_if_2020_09438552_annex_c_certification,1,1,"Fondo Rotatorio, remisión y fuentes",PASS,control negativo; no deuda
PV154_116,bundle_sigen_if_2020_09438552_annex_c_certification,2,2,"certificación, SAF, firma y fecha",PASS,no prueba pago
PV154_117,e0_sigen_if_2020_remainder_certification_cross_reference_comparator,1,1,"objeto, adelanto y expediente/orden",PASS,remanente; no pago
PV154_118,e0_sigen_if_2020_remainder_certification_cross_reference_comparator,2,2,"referencias, monto y firma",PASS,SAF109/2019
PV154_119,e0_sigen_if_2020_account_control_audit_comparator,1,1,"introducción, objeto y alcance",PASS,auditoría posterior
PV154_120,e0_sigen_if_2020_account_control_audit_comparator,2,2,"procedimientos, marco y conclusión",PASS,selectivo; no exhaustividad
PV154_121,e0_sigen_if_2020_account_control_audit_comparator,3,3,"anexos embebidos, firma y cierre",PASS,referencia no preserva embebidos
PV155_01,e0_cgn_account_2009_uepex_2008_note_sisio_chain,77,77,"Nota 0120/09, respuesta 3672/09 e instrucción SISIO",PASS,Referencia oficial; no cuerpo autónomo ni SAF355
PV155_02,e0_cgn_account_2009_uepex_2008_note_sisio_chain,78,78,"seguimiento UAI, cotejo SIDIF-DADP, consultas y regularización certificada",PASS,Procedimiento UEPEX; no fila bancaria target
PV155_03,e0_cgn_account_2009_uepex_2008_note_sisio_chain,79,79,barrera de acceso SIGADE y quiebre de valuación,PASS,No prueba inexistencia SIGADE ni recompra doméstica
PV156_01,e0_sigen_resolution_15_2006_sisio_mandatory_record_schema,1,1,"Fundamentos, alcance y fecha del acto",PASS,Contexto normativo; no entrada target
PV156_02,e0_sigen_resolution_15_2006_sisio_mandatory_record_schema,2,2,Artículo 1 y obligatoriedad SISIO desde 1-4-2006,PASS,Obligación general
PV156_03,e0_sigen_resolution_15_2006_sisio_mandatory_record_schema,3,3,"Artículos 2 y 3, informes y transición",PASS,Plazos; no cuerpos target
PV156_04,e0_sigen_resolution_15_2006_sisio_mandatory_record_schema,4,4,"Plan, cronograma, plazos, constancia e impacto Cuenta",PASS,Esquema; no asiento target
PV156_05,e0_sigen_resolution_15_2006_sisio_mandatory_record_schema,5,5,"Observaciones, papeles, regularización y estados",PASS,Historial; no banco
PV156_06,e0_sigen_resolution_15_2006_sisio_mandatory_record_schema,6,6,"Operación, migración y entrega",PASS,Procedimiento general
PV156_07,e0_sigen_resolution_15_2006_sisio_mandatory_record_schema,7,7,Clasificación de impacto y estados,PASS,No cuantifica ejecución
PV156_08,e0_sigen_resolution_15_2006_sisio_mandatory_record_schema,8,8,Áreas temáticas,PASS,Taxonomía no pertenencia
PV156_09,e0_sigen_resolution_15_2006_sisio_mandatory_record_schema,9,9,Modelo Anexo II pendientes,PASS,Modelo no presentación
PV156_10,e0_sigen_resolution_15_2006_sisio_mandatory_record_schema,10,10,Modelo Anexo III regularizadas,PASS,Modelo no regularización target
PV157_01,e0_sigen_memory_2008_plan_2009_approval_and_uai_supervision,5,6,"Cuenta, instructivos, informe 2007, 120 supervisiones y mejoras SISIO",PASS,Agregado y continuidad; no cuerpo target
PV157_02,e0_sigen_memory_2008_plan_2009_approval_and_uai_supervision,9,10,"Lineamientos 2009, aprobación 15/12/2008 y SISPE",PASS,Fecha y sistemas; no subplan Economía
PV157_03,e0_sigen_memory_2008_plan_2009_approval_and_uai_supervision,12,13,Archivo Digital y convocatoria de archivo móvil,PASS,Capacidad general; no entrada target
PV158_01,e0_res_sigen_7_2003_uai_plan_preliminary_final_approval_custody,7 impresa,32,"Instrucciones en octubre, entrega UAI antes del 30 y legajo plan auditoría UAI",PASS,Regla general; no prueba presentación Economía
PV158_02,e0_res_sigen_7_2003_uai_plan_preliminary_final_approval_custody,8 impresa,33,"Dictamen, evaluación, modificaciones y aprobación preliminar",PASS,Etapas intermedias separadas del acto final
PV158_03,e0_res_sigen_7_2003_uai_plan_preliminary_final_approval_custody,9 impresa,34,"Conformidad superior, papel+magnético, aprobación final y custodia definitiva",PASS,Circuito completo; no contiene plan target
PV158_04,e0_orsna_act_16_2008_plan_2009_approval_workflow_comparator,4,4,"Plan UAI 2009, Nota 4622/2008 SJER, aprobación preliminar, conformidad y anexo",PASS,Comparador con discordancias internas 2008/2007
PV158_05,e0_eras_2009_supervision_report_delivery_note_and_file,1,1,"Nota SIGEN 5095/2009-GSPF, informe adjunto y Expediente ERAS 878-09",PASS,Modelo de entrega; no informe Economía
PV159_01,e0_sigen_memoria_2003_gsepfye_area_and_note_suffix,3,3,"Nombre largo de Gerencia y Notas 4997/03, 5152/03-5154/03 con sufijo GSEPFyE",PASS,Asociación 2003; no identidad con GSEyP 2009
PV159_02,e0_sigen_memoria_2003_gsepfye_area_and_note_suffix,7,7,"Resolución 87/03, Subgerencia Economía y Planificación Federal y seis Sindicaturas",PASS,Estructura 2003; no organigrama 2009
PV159_03,e0_sigen_memoria_2004_supervision_structure_and_record_systems,8,8,"Resoluciones 58/04 y 91/04, dos Subgerencias y control de Fondos Fiduciarios",PASS,Estructura 2004; no custodia target
PV159_04,e0_sigen_memoria_2004_supervision_structure_and_record_systems,9,9,"Mesa de Entradas, Bonos de Consolidación, legajo electrónico y expansión GSEPFyE",PASS,Capacidad general; no asiento target
PV159_05,e0_sigen_memoria_2006_uai_and_output_measure_denominators,3,3,"145 UAI, 143 proyectos previstos, 318 concluidos y 119 informes",PASS,Denominadores distintos; no censo 2009
PV159_06,e0_eras_act_09_2010_gsepypf_note_report_and_recipient_file,5,5,"Nota 4712/2010-GSEPYPF, informe 2009, Expediente 1085-10 y giro a áreas",PASS,Comparador de lifecycle; no target Economía
