episode,window,accounting_component,abnormal_gap_pp,role_in_abnormal_gap,direct_contractual_counterparty,primary_counterparty_label,secondary_labels,direct_flow_identity,economic_funder_or_incidence,household_link,fiscal_or_BCRA_link,confidence,source_basis,caveat
2018,H1_2018_vs_H1_2017,pass_premiums,,NEGATIVE_DIRECTIONAL,BCRA,BCRA_COUNTERPARTY,,BCRA↔bank repo/pase contractual premium,"Direct BCRA monetary-policy instrument flow; H1 direction was an offset, not a positive abnormal source",NO_DIRECT_HOUSEHOLD_CONTRACT,Direct BCRA link,HIGH,V50/V51,Exact H1 gap N/D.
2018,H1_2018_vs_H1_2017,credit_loss_charges,-0.3,NEGATIVE,Borrowers underlying the impaired portfolio; sector mix,MIXED,DIRECT_HOUSEHOLD_CONTRACT|CORPORATE_COUNTERPARTY,Expected/realized credit loss is borne by bank balance; delinquency is not itself a payment to the bank,Higher household/corporate distress can reduce bank result through provisions,INDIRECT_HOUSEHOLD_EXPOSURE,No direct fiscal link,HIGH,V45/V50/V51,Falsifies the idea that mora mechanically generated the abnormal positive bank result.
2023,Q4_2023_vs_Q3_2023,interest_income,2.1,POSITIVE,Borrowers across household/corporate/public sectors,MIXED,DIRECT_HOUSEHOLD_CONTRACT|CORPORATE_COUNTERPARTY|TREASURY_COUNTERPARTY,Identified household-loan interest would be household→bank; aggregate row mixes sectors,Household share of +2.1pp cannot be isolated from current aggregate table,DIRECT_HOUSEHOLD_CONTRACT_PARTIAL_UNQUANTIFIED,Possible public-sector share; N/D,MEDIUM_HIGH,V50/V51; BCRA_BANK_DEC2023,At most +2.1pp is the accounting ceiling for all borrower-interest channels combined; it is not a household estimate.
2023,Q4_2023_vs_Q3_2023,interest_expense,-2.9,NEGATIVE,Depositors/funders,DEPOSITOR_COUNTERPARTY,DIRECT_HOUSEHOLD_CONTRACT|CORPORATE_COUNTERPARTY,Bank→depositor/funder interest,Negative bank component; private deposits are a main funding source,DIRECT_HOUSEHOLD_CONTRACT_OPPOSITE_SIGN,No direct fiscal identity,HIGH,V50/V51; BCRA_IEF_JUN2024,Household/corporate split N/D.
2023,Q4_2023_vs_Q3_2023,CER_CVS,-0.2,NEGATIVE_SMALL,Indexed issuers/debtors and indexed depositors,MIXED,TREASURY_COUNTERPARTY|DIRECT_HOUSEHOLD_CONTRACT|CORPORATE_COUNTERPARTY|DEPOSITOR_COUNTERPARTY,Net indexation result combines income and expense sides,A positive exposure gap does not imply the quarterly abnormal contribution is positive; Q4 gap is -0.2pp,INDIRECT_HOUSEHOLD_EXPOSURE,Fiscal link only for identified Treasury CER assets,HIGH,V50/V51; BCRA_BANK_DEC2023,Aggregate CER/CVS cannot be assigned to households.
2023,Q4_2023_vs_Q3_2023,fx_differences,11.3,POSITIVE_LARGEST_SINGLE,Underlying net FX position; gross counterparties heterogeneous,MARKET_VALUATION,MIXED,Exchange-rate move × net FX exposure → accounting valuation result,"No one-to-one payer; underlying assets/liabilities may involve depositors, firms, public sector or market positions",INDIRECT_HOUSEHOLD_EXPOSURE,No direct fiscal identity at aggregate component level,HIGH,V50/V51; BCRA_BANK_DEC2023,"Q4 includes Oct-Nov pre-10Dec, so +11.3pp is not a December-only causal amount."
2023,Q4_2023_vs_Q3_2023,pass_premiums,7.7,POSITIVE_LARGE,BCRA,BCRA_COUNTERPARTY,,BCRA incurs repo/pase premium expense; bank records corresponding premium income,"Immediate incidence is on BCRA balance/result/liabilities. Broader monetary/fiscal incidence is conditional, not a direct taxpayer payment",NO_DIRECT_HOUSEHOLD_CONTRACT,"BCRA direct; quasi-fiscal/monetary bridge supported, taxpayer identity rejected",VERY_HIGH,V50/V51; BCRA_POLICY_2023_12_18; BCRA_EC_2023; BCRA_OBJECTIVES_2024; BCRA_IEF_JUN2024,Q4 gap includes pre-19Dec weeks; do not attribute all +7.7pp to the policy substitution.
2023,Q4_2023_vs_Q3_2023,securities_result_ORI,7.3,POSITIVE_LARGE,Issuer and/or market depending instrument and accounting treatment,MIXED,TREASURY_COUNTERPARTY|BCRA_COUNTERPARTY|MARKET_VALUATION,Coupon/devengement: issuer→bank; secondary-market price gain/ORI: valuation without contemporaneous issuer payment,BCRA links elevated levels to public-sector financing and positive market prices; exact issuer/valuation decomposition N/D,INDIRECT_HOUSEHOLD_EXPOSURE,Treasury/BCRA/public-sector link large institutionally but exact +7.3pp split N/D,HIGH,V50/V51; BCRA_IEF_JUN2024,Cannot label the whole +7.3pp as Treasury payment or subsidy.
2023,Q4_2023_vs_Q3_2023,monetary_result,-9.2,NEGATIVE_LARGE,No single contractual counterparty,N/D,MARKET_VALUATION,Inflation accounting remeasurement of net monetary position; not a bilateral payment,Bank bears purchasing-power loss/gain from net monetary exposure,NO_DIRECT_HOUSEHOLD_CONTRACT,No direct fiscal counterparty,VERY_HIGH,V50/V51,Strong falsifier of any single-sign claim from inflation to bank profit.
2023,Q4_2023_vs_Q3_2023,other_financial,0.3,POSITIVE_SMALL,Not decomposed,N/D,,N/D,N/D,N/D,N/D,LOW,V50,Too small and insufficiently decomposed to assign incidence.
2023,Q4_2023_vs_Q3_2023,credit_loss_charges,-1.2,NEGATIVE,Borrowers underlying impaired portfolio,MIXED,DIRECT_HOUSEHOLD_CONTRACT|CORPORATE_COUNTERPARTY,Provision/credit-loss expense is borne by bank; nonpayment is not a transfer to bank,Household distress can hurt bank results through this channel,INDIRECT_HOUSEHOLD_EXPOSURE,No direct fiscal link,HIGH,V45/V50/V51; BCRA_BANK_DEC2023,Current Q4 aggregate does not isolate household credit losses.
2023,Q4_2023_vs_Q3_2023,income_tax,-4.0,NEGATIVE_LARGE,Tax authority,TREASURY_COUNTERPARTY,,Bank→tax authority tax accrual/payment,Fiscal authority receives tax; offset to bank profitability,NO_HOUSEHOLD_LINK,Direct fiscal link,HIGH,V50,Not a positive bank-benefit channel.
