episode_id,episode_name,t0,shock_type,variable,sector,frequency,pre_value,trough_value,trough_date,recovery_value,recovery_date,months_to_trough,months_to_recovery,benchmark_definition,source_id,source_quality,basis,method_break,status,interpretation,falsifier,notes
E4,Crisis cambiaria / FMI / tasas 2018–2019,2018-05,MIXED,mora_first_sustained,RISK,MONTHLY,N/D,N/D,2018-01,N/D,N/D,-4,N/D,"first sustained mora movement relative to May t0",LEAD_LAG_AUDIT_V45.csv,SUPPORTED,"BCRA mora sequence",YES_NIIF_2018,FAILS_ONSET,"Mora trend starts about four months before the chosen household t0.",YES_CLEAN_SHOCK_TO_MORA_SEQUENCE,"Later +0.3/+0.5pp thresholds do not repair the failed first link."
E4,Crisis cambiaria / FMI / tasas 2018–2019,2018-05,MIXED,abnormal_ROA_gap,BANKS,MULTI_WINDOW,"pre-episode comparable benchmarks",N/D,N/D,"+0.4 to +1.1 pp",2018,N/D,N/D,"H1, 10m, 11m and FY benchmarks",EPISODE_ABNORMAL_VERDICTS_V49.csv,SUPPORTED,"BCRA system profitability; NIIF-sensitive vintages",YES_NIIF_2018,MIXED,"Direction is robust but pretrend is strong and magnitude is accounting-sensitive.",NO,"Not causal; May is FX-heavy while H1 is multicomponent."
E4,Crisis cambiaria / FMI / tasas 2018–2019,2018-05,MIXED,net_irregular_private_credit_exposure_to_PN,BANKS,MONTHLY,N/D,1.3%,2018-11,1.6%,2018-12,N/D,N/D,"irregular private portfolio net of provisions / net worth",BANK_NET_EXPOSURE_TO_PN_V44.csv,EXACT,"BCRA 2018 NIIF regime",YES_NIIF_2018,PARTIAL_MATCH,"Residual credit-risk exposure remains low relative to net worth.",YES_BUFFER_SATURATION,"End-2017 comparison is not clean because NIIF lifted net worth."
E5,Pandemia COVID-19,2020-03,HEALTH_EXCEPTION,special_regime,CROSS_SECTOR,EPISODE,N/D,N/D,N/D,N/D,N/D,N/D,N/D,"forbearance and accounting regime must be modeled explicitly",MATRIZ_SIGNO_INCIDENCIA_2002_2026_V41.csv,SUPPORTED,"Inherited methodological classification",YES_FORBEARANCE_ACCOUNTING_BREAK,SPECIAL_REGIME,"Health shock, exceptional transfers and classification changes prevent simple pooling.",YES_SIMPLE_CROSS_EPISODE_COMPARABILITY,"Only comparable under an explicit special-regime analysis."
E6,Shock diciembre 2023 y recuperación / deuda / mora,2023-12,DOMESTIC_POLICY_SHOCK,use_of_savings,HOUSEHOLDS,SEMIANNUAL,35.3%,40.1%,2024-1S,38.9%,2024-2S,6,12,"EPH maintenance-strategy incidence",MATRIZ_V21_AMORTIGUADORES_2023_2025.csv,EXACT,"Observed EPH percentages",NO,PARTIAL_MATCH,"Dissaving peaks in the initial trough and remains high during recovery.",NO,"1S24 is the maximum in the inherited 2016–2025 comparison."
E6,Shock diciembre 2023 y recuperación / deuda / mora,2023-12,DOMESTIC_POLICY_SHOCK,bank_finance_loans_strategy,HOUSEHOLDS,SEMIANNUAL,12.3%,11.9%,2024-1S,14.2%,2025-1S,6,18,"EPH maintenance-strategy incidence",MATRIZ_V21_AMORTIGUADORES_2023_2025.csv,EXACT,"Observed EPH percentages",NO,PARTIAL_MATCH,"Bank/financial-loan use does not lead the initial trough; it rises later.",YES_CREDIT_AS_INITIAL_MAIN_BUFFER,"Consistent with a late credit bridge, not causal proof."
E6,Shock diciembre 2023 y recuperación / deuda / mora,2023-12,DOMESTIC_POLICY_SHOCK,registered_real_wage_index,HOUSEHOLDS,MONTHLY,100,84.47,2024-01,91.78,2026-06,1,N/D,"Nov-2023=100",MATRIZ_V21_AMORTIGUADORES_2023_2025.csv,SUPPORTED,"Inherited registered-wage series",NO,PARTIAL_MATCH,"Registered wages do not recover the benchmark by Jun-2026.",NO,"Keep separate from broad total-wage series."
E6,Shock diciembre 2023 y recuperación / deuda / mora,2023-12,DOMESTIC_POLICY_SHOCK,broad_real_wage_index,HOUSEHOLDS,MONTHLY,100,83.25,2024-03,101.17,2025-05,3,17,"Nov-2023=100",MATRIZ_V21_AMORTIGUADORES_2023_2025.csv,PARTIAL,"Heterogeneous broad-wage sources",YES_HETEROGENEOUS_SOURCES,PARTIAL_MATCH,"Broad wages recover while registered wages do not under the inherited bases.",NO,"Methodological heterogeneity prevents collapsing both clocks."
E6,Shock diciembre 2023 y recuperación / deuda / mora,2023-12,DOMESTIC_POLICY_SHOCK,poverty_persons,HOUSEHOLDS,SEMIANNUAL,41.7%,52.9%,2024-1S,38.1%,2024-2S,6,12,"INDEC persons below poverty line",MATRIZ_V21_AMORTIGUADORES_2023_2025.csv,EXACT,"Observed official poverty rates",NO,PARTIAL_MATCH,"Poverty worsens sharply and then recovers before registered wages.",YES_SINGLE_HOUSEHOLD_RECOVERY_CLOCK,"Social recovery is multidimensional."
E6,Shock diciembre 2023 y recuperación / deuda / mora,2023-12,DOMESTIC_POLICY_SHOCK,debt_service_to_formal_wage_bill,CREDIT,QUARTERLY,9.4%,9.0%,2024-Q1,18.7%,2025-03,3,15,"BCRA household debt service / formal wage bill",MATRIZ_PUENTE_CONSUMO_DEUDA_2023_2026.csv,EXACT,"BCRA burden series",NO,PARTIAL_MATCH,"Debt service roughly doubles during the recovery/credit-deepening phase.",NO,"Financial residue is not a one-to-one measure of household loss."
E6,Shock diciembre 2023 y recuperación / deuda / mora,2023-12,DOMESTIC_POLICY_SHOCK,household_bank_irregularity,RISK,MONTHLY,N/D,EARLY_SMALL_SIGNAL,2024-03,12.8%,2026-06,3,30,"first sustained and material-threshold sequence",LEAD_LAG_AUDIT_V45.csv,SUPPORTED,"BCRA household irregularity",NO,PARTIAL_MATCH,"Small deterioration appears after t0; material acceleration occurs around Feb-2025 and reaches 12.8% by Jun-2026.",NO,"Separate household, personal-bank and PNFC portfolios."
E6,Shock diciembre 2023 y recuperación / deuda / mora,2023-12,DOMESTIC_POLICY_SHOCK,provision_response,BANKS,MONTHLY,90.4% adjusted coverage,113.2% adjusted coverage,2023-12,N/D,N/D,0,N/D,"adjusted provisions / irregular portfolio",LEAD_LAG_AUDIT_V45.csv,SUPPORTED,"BCRA provisioning sequence",NO,FAILS_MORA_LINK,"Provisions respond immediately, well before material mora acceleration.",YES_MORA_ALWAYS_PRECEDES_PROVISIONS,"Expected-loss accounting means observed mora is not the only clock."
E6,Shock diciembre 2023 y recuperación / deuda / mora,2023-12,DOMESTIC_POLICY_SHOCK,abnormal_ROA_gap,BANKS,QUARTERLY,"Q3-2023 / Q4-2022 benchmarks",N/D,N/D,"+8.7 to +9.0 pp",2023-Q4,N/D,N/D,"Q4 annualized ROA gap",EPISODE_ABNORMAL_VERDICTS_V49.csv,SUPPORTED,"BCRA homogeneous-currency quarterly accounting",NO,MIXED,"Q4 is extraordinary in accounting terms but contains Oct-Nov and has a very strong pretrend.",YES_POST_DEC_CAUSAL_ATTRIBUTION,"Do not relabel Q4 as a clean post-10-Dec treatment window."
