episodio,fecha,actor,documento,tipo_documento,objetivo_declarado,incidencia_distributiva_anticipada,beneficiarios_explicitos,perjudicados_o_cost_bearers_explicitos,coordinacion_institucional_explicita,coordinacion_distributiva_hogar_banco_explicita,cita_corta,nivel_fuente,senal_documental,url,nota_metodologica
2018_SHOCK,2018-06,BCRA,Informe sobre Bancos · mayo 2018,informe contemporáneo,Reducir volatilidad cambiaria/reforzar objetivo antiinflacionario y mantener crédito MiPyME.,Sube encajes y reduce posición positiva FX; simultáneamente da alivios prudenciales a MiPyME.,Objetivo macro; MiPyME como beneficiaria de medidas de crédito.,Bancos enfrentan más encajes y menor posición FX positiva.,YES_WITHIN_POLICY,NO,“se incrementaron los encajes bancarios”,PRIMARIA,BANK_CONSTRAINTS_EXPLICIT,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-mayo-de-2018/,Evidencia contradictoria para una protección bancaria unilateral.
2018_SHOCK,2018-10,BCRA,Informe de Política Monetaria · octubre 2018,informe contemporáneo,Re-anclar expectativas con crecimiento nominal cero de base monetaria y coordinar con ajuste fiscal.,Reconoce contracción monetaria real y caída de actividad en el contexto.,Estabilidad nominal como objetivo general.,Costos macro de corto plazo no asignados como objetivo distributivo.,YES_WITH_FISCAL_PROGRAM,NO,“recuperar el ancla”,PRIMARIA,KNOWN_SHORT_TERM_COST_ALTERNATIVE_OBJECTIVE,https://www.bcra.gob.ar/publicaciones/informe-de-politica-monetaria-octubre-2018/,Documenta objetivo macro alternativo y dureza de la política.
2018_IMF,2018-06-20,Gobierno argentino + FMI,Stand-By Arrangement · aprobación,acuerdo internacional,"Restaurar confianza, reducir déficit/inflación y sostener protección social.",Incluye piso de gasto social y espacio para aumentarlo si empeoran condiciones.,Población vulnerable / beneficiarios de asistencia social.,Ajuste fiscal recae en otras partidas/ingresos; no individualiza hogar→banco.,YES_INTERNATIONAL_PROGRAM,NO,“protect society’s most vulnerable”,PRIMARIA,MITIGATION_EXPLICIT,https://www.imf.org/en/news/articles/2018/06/20/pr18245-argentina-imf-executive-board-approves-us50-billion-stand-by-arrangement,"Coordinación explícita existe, pero el objetivo distributivo declarado es mitigación, no transferencia a bancos."
2018_IMF,2018-07,Gobierno argentino + FMI,Request for Stand-By Arrangement · TMU,acuerdo técnico,Definir metas fiscales y ajustadores.,"Permite relajar piso de balance primario si gasto AUH/AUE/Ayuda Escolar supera programa, con tope.",Beneficiarios de asignaciones universales.,Costo fiscal del ajustador.,YES_INTERNATIONAL_PROGRAM,NO,“adjustor … for social spending”,PRIMARIA,MITIGATION_RULE_EXPLICIT,https://www.elibrary.imf.org/view/journals/002/2018/219/article-A001-en.xml,Regla institucional de amortiguación; útil para comparar 2018 vs 2024.
2018_IMF,2018-10-26,Gobierno argentino + FMI,Primera revisión SBA,comunicado/acuerdo,"Acelerar equilibrio fiscal, nuevo marco monetario y fortalecer red social.","Mantiene piso/ajustador social, aumenta asistencia y preserva salud focalizada.",Hogares de bajos ingresos y beneficiarios AUH.,Ajuste en otras partidas; no identifica beneficio bancario como objetivo.,YES_INTERNATIONAL_PROGRAM,NO,“refuerza la red de protección social”,PRIMARIA,MITIGATION_EXPLICIT,https://www.imf.org/es/news/articles/2018/10/26/pr18395-argentina-imf-executive-board-completes-first-review-under-argentina-stand-arrangement,"Documenta coordinación ordinaria y amortiguación, no coordinación distributiva hogar→banco."
2023_ADJUSTMENT,2023-12-12,BCRA + Ministerio de Economía,Nuevo marco de política monetaria y cambiaria,comunicación oficial,"Consolidación fiscal inmediata, corrección de precios relativos, estabilidad monetaria y reducción de inflación.",Reconoce transición con estanflación de corto plazo y sinceramiento de precios.,Objetivo macro general; exportadores reciben incentivo cambiario declarado.,Costos transitorios amplios; no se individualiza transferencia a bancos.,YES_BCRA_EXECUTIVE_AND_IMF_DIALOGUE,NO,“periodo de ‘estanflación’”,PRIMARIA,COST_ANTICIPATED_MACRO_OBJECTIVE,https://www.bcra.gob.ar/noticias/nuevo-marco-de-politica-monetaria-y-cambiaria/,"Hay coordinación institucional explícita con Secretaría de Comercio e IMF, pero con objetivos cambiarios/financieros declarados."
2023_ADJUSTMENT,2023-12-13,Poder Ejecutivo / Vocería Presidencial,Conferencia de prensa · detalle del paquete,declaración contemporánea,Déficit cero y estabilización para evitar hiperinflación.,"Detalla incidencia: menor gasto previsional, transferencias a provincias, subsidios y capital; anticipa cambio de subsidio oferta→demanda.",Demanda focalizada como beneficiaria futura del nuevo esquema de subsidios.,"Jubilaciones/pensiones, transferencias, subsidios y obra pública soportan recortes fiscales explícitos.",YES_EXECUTIVE_PACKAGE,NO,"“baja del 0,4 … jubilaciones y pensiones”",PRIMARIA,DISTRIBUTIVE_INCIDENCE_ANTICIPATED,https://www.casarosada.gob.ar/informacion/conferencias/50284-conferencia-de-prensa-del-vocero-presidencial-manuel-adorni-en-la-casa-rosada-16,Prueba que parte de la incidencia era anticipada; no prueba objetivo de transferir recursos a bancos.
2024_AUH,2023-12-29,Poder Ejecutivo Nacional,Decreto 117/2023,norma,Proteger familias vulnerables y paliar contingencias primarias.,Duplica AUH/AUE desde enero 2024.,Familias vulnerables con AUH/AUE.,Costo fiscal; no perjudicado sectorial explícito.,YES_EXECUTIVE_SOCIAL,NO,“incrementar en un CIEN POR CIENTO”,PRIMARIA,MITIGATION_EXPLICIT,https://www.boletinoficial.gob.ar/detalleAviso/primera/301487/20240102,Base legal para microsimulación mecánica.
2024_ALIMENTAR,2023-12-20,Ministerio de Capital Humano,Resolución 3/2023,norma,Aumentar Prestación Alimentar.,Sube 50% los montos desde enero 2024.,Familias con niños 0–14 alcanzadas por AUH/AUE/Pensión.,Costo fiscal.,YES_SOCIAL_POLICY,NO,“a partir … enero del 2024”,PRIMARIA,MITIGATION_EXPLICIT,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-3-2023-395576/texto,Primer escalón 2024 de intensidad de Alimentar.
2024_ALIMENTAR,2024-01-24,Ministerio de Capital Humano,Resolución 11/2024,norma,Recomponer poder de compra frente a inflación/CBA.,Duplica montos normativos de referencia desde febrero 2024.,Familias vulnerables beneficiarias de Alimentar.,Costo fiscal.,YES_SOCIAL_POLICY,NO,“recomponer el poder de compra”,PRIMARIA,MITIGATION_OBJECTIVE_EXPLICIT,https://www.argentina.gob.ar/normativa/nacional/norma-396230/texto,Objetivo distributivo explícito y contemporáneo.
2024_ALIMENTAR_AGE,2024-09-10,Ministerio de Capital Humano,Resolución 636/2024,norma,Ampliar seguridad alimentaria a más familias vulnerables.,Amplía elegibilidad de Alimentar hasta 17 años desde liquidación octubre 2024.,Hogares con adolescentes de 15–17 antes excluidos por edad.,Costo fiscal; no perjudicado explícito.,YES_SOCIAL_POLICY,NO,“ampliar el rango etario … 17 años”,PRIMARIA,QUASI_EXPERIMENTAL_CUTOFF,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-636-2024-403940/texto,Genera grupo recién elegible apto para DiD/ITT repeated cross-section.
2024_EPH,2025-05-07,INDEC,Bases de datos EPH · Q4 2024 corregida,nota de datos,Corregir etiquetado de microdatos.,Dos etiquetas de ingresos no laborales —AUH y otros subsidios— estaban invertidas en versión previa.,Usuarios de microdatos / validez de estimación.,N/A.,NO,NO,“estaban invertidas dos etiquetas”,PRIMARIA,DATA_CAVEAT_CRITICAL,https://www.indec.gob.ar/indec/web/Institucional-Indec-BasesDeDatos,Toda estimación V32 debe usar versión corregida y registrar hash/fecha.
2024_IMF,2024-05-31,Gobierno argentino + FMI,Octava revisión EFF · staff report,acuerdo/informe,Sostener estabilización y escalar asistencia para que el costo no recaiga desproporcionadamente en familias trabajadoras.,Reconoce costos sociales de corto plazo y fuerte aumento AUH/Alimentar; pide más burden sharing.,Vulnerables y working families como grupos a proteger.,No identifica bancos como beneficiarios del ajuste.,YES_INTERNATIONAL_PROGRAM,NO,“does not disproportionately fall on working families”,PRIMARIA,COST_ACKNOWLEDGED_MITIGATION_EXPLICIT,https://www.elibrary.imf.org/view/journals/002/2024/167/article-A001-en.xml,Coordinación macro explícita; no evidencia de coordinación distributiva hogar→banco.
