proposicion,estado,evidencia_a_favor,evidencia_en_contra_falsificador,alcance,gap_restante
H1.9 · queda residuo acumulado del lado hogar,STRONG_SUPPORT,2014/18 residuo salario+pobreza+consumo; 2024-26 residuo financiero: servicio deuda/mora,2023-25 no deja residuo social homogéneo: pobreza/consumo sí recuperan,por dimensiones,microincidencia post-shock por ingreso
Patrón idéntico en todas las crisis,REJECTED,—,2008 es falsificador; COVID tiene quiebre contable y dinámica propia,universal,ninguno: hipótesis universal descartada
Regularidad en shocks domésticos cambiarios/de ajuste,MODERATE_SUPPORT,2014/18 fuertes; 2015 mixto; 2023 comparte onset/overshoot pero menor residuo social,pocos episodios y amortiguadores distintos,taxonomía restringida,más casos / identificación
RAI único hogar vs banco,REJECTED,—,hogar es vector multidimensional; banco puede no caer al t0; hay censura y regímenes de frecuencia,métrica principal,usar onset/overshoot/duración/área + RAI sólo cuando aplica
Buffers bancarios ex ante reglados y monitoreados,STRONG_SUPPORT,"capital, liquidez, previsiones, límites y stress/supervisión; jun-2026 exceso capital 269%, previsiones 86,6% cartera irregular",no son caja libre ni garantizan ganancias,arquitectura institucional,"comparación funcional, no monetaria"
Buffers del hogar heterogéneos y condicionados,STRONG_SUPPORT,"ahorro propio, desempleo, transferencias, indemnización, límites de embargo, insolvencia judicial y crédito",algunos buffers mejoraron mucho desde 2023,arquitectura institucional,cobertura efectiva por shock
Red social 2023-25 más potente en dimensiones observables,STRONG_SUPPORT,"seguro desempleo: ~9-11% SMVM 2014, ~37% 2018, techo 100% SMVM desde 2023; AUH/Alimentar gana intensidad 2024",no hay ratio alimentario perfectamente empalmable con 2014/18,comparación seleccionada,flujo realizado histórico comparable
Red social neutralizó el shock desde t0,REJECTED,AUH/Alimentar se refuerzan ene-feb24,"pobreza igualmente sube 41,7→52,9% en 1S24; flujo secundario sugiere protección heterogénea inicialmente",2024,micro V29 para composición
Crédito fue el buffer inicial principal de 2024,WEAK_SUPPORT,consumo cae menos que ingreso,crédito promedio/deudor se contrae primero y recién revierte mar-abr/mayo; uso de ahorros salta antes,2024,micro consumo/financiamiento
Crédito funcionó como puente/acelerador de segunda fase,MODERATE_SUPPORT,expansión desde Q2/mayo coincide con recovery; crédito y deudores crecen,no identifica causalidad sobre consumo,2024-25,identificación causal
Crédito deja residuo financiero posterior,STRONG_SUPPORT,"servicio deuda 18,7% masa salarial formal mar25; mora hogares 12,8% jun26; PNFC deterioro alto",stock agregado de ahorro también se recompone; no todos los hogares afectados igual,2024-26,micro por ingreso/proveedor
Más crédito por sí solo causa peor mora,REJECTED,—,cohortes II/III24 mejoran pese a mayor expansión; IV23/I24 peores con saldos iniciales menores,2023-24,modelos de originación/ingreso
Transferencia directa de riqueza hogar → banco,N/D,costo financiero hogar e ingresos/rentabilidad bancaria pueden coexistir,"no hay contabilidad que identifique una transferencia uno-a-uno; costos, fondeo, mora, impuestos y valuación intermedian",causal/contable,micro/contabilidad causal
Intención o coordinación deliberada para producir el reparto,N/D,hay medidas con incidencia distributiva explícita/conocida,no apareció evidencia documental directa de diseño coordinado con ese objetivo; patrón estadístico no basta,nivel 3,"documentos, minutas, comunicaciones, declaraciones explícitas"
Signo regulatorio universal pro-banco,REJECTED,A5853 elimina topes y amplía libertad de pricing; algunos episodios macro pueden beneficiar posiciones financieras indirectamente.,A5590 limita tasas para proteger deudores; A5928 traslada costo/riesgo a entidades; 2018 impone encajes/límites FX; 2024 refuerza transferencias focalizadas.,regulación/política 2014-2024,ampliar corpus 2002-2013 y COVID con misma taxonomía
Heterogeneidad del signo de política/regulación,STRONG_SUPPORT,"La matriz V41 contiene medidas hogar+, banco-, banco+, costo-a-ambos y mitigación fiscal en episodios distintos.",La clasificación de 2002-2013 es documentalmente menos completa.,episodios documentados 2014-2024,extender corpus documental hacia 2002-2013
Asimetría estructural requiere reglas sistemáticamente pro-banco,REJECTED,N/D,"A5928 y A5590 son reglas explícitamente protectoras del hogar; 2018 incluye restricciones directas a bancos. Aun así, V31 encuentra asimetrías de buffers/recuperación en episodios domésticos.",mecanismo institucional,identificación causal de buffers y recovery clocks
Asimetría estructural compatible con signo de política heterogéneo,STRONG_SUPPORT,V31: buffers bancarios ex ante reglados/monitoreados vs buffers hogar heterogéneos; V41: políticas pueden incluso imponer costos a bancos sin eliminar la asimetría funcional.,No existe una métrica monetaria única de buffers ni prueba causal completa de que esta arquitectura explique cada episodio.,explicación institucional,comparación funcional causal y cobertura efectiva por shock
A5928 como control positivo de falsación institucional,STRONG_SUPPORT,Menor costo al deudor; costo/riesgo a entidad; mecanismo validado por BCRA y bancos; canal de servicios afectado; Supervielle cuantifica un caso B2.,Magnitud sistémica y utilidad neta bancaria N/D; gate de 3 bancos matched pre/post no cerrado.,2016 / regulación de crédito,Régimen de Transparencia histórico y pares adicionales
Del patrón macro puede inferirse intención coordinada hogar→banco,REJECTED_AS_INFERENCE,Hay medidas con incidencia conocida y coordinación institucional ordinaria.,El signo regulatorio cambia entre episodios y existen reglas explícitamente adversas a intereses bancarios específicos; no hay documento que establezca el objetivo coordinado de trasladar pérdidas de hogares a bancos.,nivel 3 intención/coordinación,sólo evidencia documental directa podría elevar este nivel
