episode,bridge,component,observed,benchmark,component_gap,unit,accounting_level,role_in_abnormal_gap,source,notes
2014,Q2_2014_vs_Q2_2013_PARTIAL,financial_margin,10.4,8.9,1.5,%a asset,BROAD_COMPONENT,POSITIVE_MAJOR,BCRA InfBanc Jun-2014,BCRA says increase driven mainly by securities gains.
2014,Q2_2014_vs_Q2_2013_PARTIAL,services_result,4.3,,,%a asset,BROAD_COMPONENT,NEGATIVE_SLIGHT_EXACT_BENCH_ND,BCRA InfBanc Jun-2014,Text: slightly below Q2-2013; exact benchmark not frozen.
2014,Q2_2014_vs_Q2_2013_PARTIAL,administration_expense,-7.6,-7.4,-0.2,%a asset,BROAD_COMPONENT,NEGATIVE,BCRA InfBanc Jun-2014,Expense 0.2pp higher YoY.
2014,Q2_2014_vs_Q2_2013_PARTIAL,credit_loss_charges,-0.9,,,%a asset,BROAD_COMPONENT,POSITIVE_SLIGHT_EXACT_BENCH_ND,BCRA InfBanc Jun-2014,Text: slight YoY decrease in cost; exact Q2-2013 benchmark not frozen.
2014,Q2_2014_vs_Q2_2013_PARTIAL,securities_result,,,,%a asset,MARGIN_SUBCOMPONENT,POSITIVE_DOMINANT_DIRECTIONAL,BCRA InfBanc Jun-2014,Regulator explicitly says Q2 ROA increase was fundamentally due to higher securities gains.
2018,H1_2018_vs_H1_2017_BROAD,ROA,3.4,3.0,0.4,%a asset,TOTAL,TARGET,BCRA InfBanc Jun-2018,Primary V49 H1 benchmark.
2018,H1_2018_vs_H1_2017_BROAD,financial_margin,10.7,10.3,0.4,%a asset,BROAD_COMPONENT,POSITIVE,BCRA InfBanc Jun-2018,"Positive subcomponents: securities, CER income, interest income, FX; offsets: interest expense, CER expense, lower passes."
2018,H1_2018_vs_H1_2017_BROAD,services_result,2.2,2.9,-0.7,%a asset,BROAD_COMPONENT,NEGATIVE,BCRA InfBanc Jun-2018,-0.7pp YoY.
2018,H1_2018_vs_H1_2017_BROAD,credit_loss_charges,-1.3,-1.0,-0.3,%a asset,BROAD_COMPONENT,NEGATIVE,BCRA InfBanc Jun-2018,Credit cost +0.3pp YoY => -0.3pp contribution to ROA gap.
2018,H1_2018_vs_H1_2017_BROAD,administration_expense,-6.5,-7.2,0.7,%a asset,BROAD_COMPONENT,POSITIVE_LESS_COST,BCRA InfBanc Jun-2018,Expenses 0.7pp lower YoY.
2018,H1_2018_vs_H1_2017_BROAD,taxes_other_ORI_residual,0.3,0.0,0.3,pp contribution,DERIVED_RESIDUAL,POSITIVE_RESIDUAL,BCRA InfBanc Jun-2018,Derived residual needed to reconcile ROA gap; graph contains 'Impuestos y resto' and NIIF ORI effects. Not decomposed further from text.
2018,H1_2018_vs_H1_2017_BROAD,securities_result,,,,%a asset,MARGIN_SUBCOMPONENT,POSITIVE_DIRECTIONAL,BCRA InfBanc Jun-2018,BCRA names direction but accessible text does not freeze an exact H1 component gap.
2018,H1_2018_vs_H1_2017_BROAD,CER_income,,,,%a asset,MARGIN_SUBCOMPONENT,POSITIVE_DIRECTIONAL,BCRA InfBanc Jun-2018,BCRA names direction but accessible text does not freeze an exact H1 component gap.
2018,H1_2018_vs_H1_2017_BROAD,interest_income,,,,%a asset,MARGIN_SUBCOMPONENT,POSITIVE_DIRECTIONAL,BCRA InfBanc Jun-2018,BCRA names direction but accessible text does not freeze an exact H1 component gap.
2018,H1_2018_vs_H1_2017_BROAD,fx_differences,,,,%a asset,MARGIN_SUBCOMPONENT,POSITIVE_DIRECTIONAL,BCRA InfBanc Jun-2018,BCRA names direction but accessible text does not freeze an exact H1 component gap.
2018,H1_2018_vs_H1_2017_BROAD,interest_expense,,,,%a asset,MARGIN_SUBCOMPONENT,NEGATIVE_DIRECTIONAL,BCRA InfBanc Jun-2018,BCRA names direction but accessible text does not freeze an exact H1 component gap.
2018,H1_2018_vs_H1_2017_BROAD,CER_expense,,,,%a asset,MARGIN_SUBCOMPONENT,NEGATIVE_DIRECTIONAL,BCRA InfBanc Jun-2018,BCRA names direction but accessible text does not freeze an exact H1 component gap.
2018,H1_2018_vs_H1_2017_BROAD,pass_premiums,,,,%a asset,MARGIN_SUBCOMPONENT,NEGATIVE_DIRECTIONAL,BCRA InfBanc Jun-2018,BCRA names direction but accessible text does not freeze an exact H1 component gap.
2023,Q4_2023_vs_Q3_2023_EXACT_HOMOGENEOUS,financial_margin_real,30.6,14.4,16.2,%a asset homogeneous currency,BROAD_COMPONENT,POSITIVE_MAJOR,"BCRA IEF II-2024, Tabla 2","Q4 includes Oct-Nov pre-10Dec and Dec; label is Q4 abnormal component, not post-Dec causal component."
2023,Q4_2023_vs_Q3_2023_EXACT_HOMOGENEOUS,interest_income,15.6,13.5,2.1,%a asset homogeneous currency,MARGIN_SUBCOMPONENT,POSITIVE,"BCRA IEF II-2024, Tabla 2","Q4 includes Oct-Nov pre-10Dec and Dec; label is Q4 abnormal component, not post-Dec causal component."
2023,Q4_2023_vs_Q3_2023_EXACT_HOMOGENEOUS,interest_expense,-39.8,-36.9,-2.9,%a asset homogeneous currency,MARGIN_SUBCOMPONENT,NEGATIVE,"BCRA IEF II-2024, Tabla 2","Q4 includes Oct-Nov pre-10Dec and Dec; label is Q4 abnormal component, not post-Dec causal component."
2023,Q4_2023_vs_Q3_2023_EXACT_HOMOGENEOUS,CER_CVS,7.9,8.1,-0.2,%a asset homogeneous currency,MARGIN_SUBCOMPONENT,NEGATIVE_SMALL,"BCRA IEF II-2024, Tabla 2","Q4 includes Oct-Nov pre-10Dec and Dec; label is Q4 abnormal component, not post-Dec causal component."
2023,Q4_2023_vs_Q3_2023_EXACT_HOMOGENEOUS,fx_differences,18.2,6.9,11.3,%a asset homogeneous currency,MARGIN_SUBCOMPONENT,POSITIVE_LARGEST_SINGLE,"BCRA IEF II-2024, Tabla 2","Q4 includes Oct-Nov pre-10Dec and Dec; label is Q4 abnormal component, not post-Dec causal component."
2023,Q4_2023_vs_Q3_2023_EXACT_HOMOGENEOUS,pass_premiums,16.5,8.8,7.7,%a asset homogeneous currency,MARGIN_SUBCOMPONENT,POSITIVE_LARGE,"BCRA IEF II-2024, Tabla 2","Q4 includes Oct-Nov pre-10Dec and Dec; label is Q4 abnormal component, not post-Dec causal component."
2023,Q4_2023_vs_Q3_2023_EXACT_HOMOGENEOUS,securities_result_ORI,35.4,28.1,7.3,%a asset homogeneous currency,MARGIN_SUBCOMPONENT,POSITIVE_LARGE,"BCRA IEF II-2024, Tabla 2","Q4 includes Oct-Nov pre-10Dec and Dec; label is Q4 abnormal component, not post-Dec causal component."
2023,Q4_2023_vs_Q3_2023_EXACT_HOMOGENEOUS,monetary_result,-23.4,-14.2,-9.2,%a asset homogeneous currency,MARGIN_SUBCOMPONENT,NEGATIVE_LARGE,"BCRA IEF II-2024, Tabla 2","Q4 includes Oct-Nov pre-10Dec and Dec; label is Q4 abnormal component, not post-Dec causal component."
2023,Q4_2023_vs_Q3_2023_EXACT_HOMOGENEOUS,other_financial,0.3,0.0,0.3,%a asset homogeneous currency,MARGIN_SUBCOMPONENT,POSITIVE_SMALL,"BCRA IEF II-2024, Tabla 2","Q4 includes Oct-Nov pre-10Dec and Dec; label is Q4 abnormal component, not post-Dec causal component."
2023,Q4_2023_vs_Q3_2023_EXACT_HOMOGENEOUS,services_result,1.4,1.4,0.0,%a asset homogeneous currency,BROAD_COMPONENT,NEUTRAL,"BCRA IEF II-2024, Tabla 2","Q4 includes Oct-Nov pre-10Dec and Dec; label is Q4 abnormal component, not post-Dec causal component."
2023,Q4_2023_vs_Q3_2023_EXACT_HOMOGENEOUS,credit_loss_charges,-1.9,-0.7,-1.2,%a asset homogeneous currency,BROAD_COMPONENT,NEGATIVE,"BCRA IEF II-2024, Tabla 2","Q4 includes Oct-Nov pre-10Dec and Dec; label is Q4 abnormal component, not post-Dec causal component."
2023,Q4_2023_vs_Q3_2023_EXACT_HOMOGENEOUS,administration_expense,-8.7,-7.2,-1.5,%a asset homogeneous currency,BROAD_COMPONENT,NEGATIVE,"BCRA IEF II-2024, Tabla 2","Q4 includes Oct-Nov pre-10Dec and Dec; label is Q4 abnormal component, not post-Dec causal component."
2023,Q4_2023_vs_Q3_2023_EXACT_HOMOGENEOUS,tax_diverse_rest_ORI,-2.5,-1.8,-0.7,%a asset homogeneous currency,BROAD_COMPONENT,NEGATIVE,"BCRA IEF II-2024, Tabla 2","Q4 includes Oct-Nov pre-10Dec and Dec; label is Q4 abnormal component, not post-Dec causal component."
2023,Q4_2023_vs_Q3_2023_EXACT_HOMOGENEOUS,income_tax,-6.9,-2.9,-4.0,%a asset homogeneous currency,BROAD_COMPONENT,NEGATIVE_LARGE,"BCRA IEF II-2024, Tabla 2","Q4 includes Oct-Nov pre-10Dec and Dec; label is Q4 abnormal component, not post-Dec causal component."
2023,Q4_2023_vs_Q3_2023_EXACT_HOMOGENEOUS,ROA,12.1,3.1,9.0,%a asset homogeneous currency,TOTAL,TARGET,"BCRA IEF II-2024, Tabla 2","Q4 includes Oct-Nov pre-10Dec and Dec; label is Q4 abnormal component, not post-Dec causal component."
