evidence_id,item,status,period,universe,measure_type,metric,value_numeric,value_text,unit,comparison,formula,classification,confidence,source_organization,source_title,source_url,local_source,limitations
C16_FGS_GAP,16,brecha,corte 2026-08-31,Esquema hipotecario propuesto financiado con FGS,contrato y asignación de riesgo,Spread neto y portador final del riesgo,,No disponible,,,tasa al prestatario - costo FGS - costos - pérdida esperada,no disponible,alta sobre la brecha,Ministerio de Capital Humano,AUH y Tarjeta Alimentar: cobertura normativa de la CBA en 2024,https://www.argentina.gob.ar/node/450359,data/fuentes/manual_recovery_v96_final/capital_humano_auh_alimentar_cba_2024_web_snapshot.pdf,"No se localizó contrato verificable con costo de fondeo, spread, costos, riesgo UVA/crediticio y absorción de pérdidas; no corresponde inferirlo desde PRO.CRE.AR."
S26_EPH_TRANSFER,26,hallazgo,2003-S2 a 2025-S1,Hogares urbanos que declaran una categoría amplia de transferencias/ayuda,incidencia declarada,"Planes sociales, subsidios y ayuda en dinero",14.6,,% de hogares,"4,5% en 2003-S2",estimación ponderada EPH publicada,observado,media-alta,INDEC,Estrategias de manutención. ¿Cómo organizan su economía los hogares argentinos?,https://www.indec.gob.ar/ftp/cuadros/publicaciones/dosier_estrategias_manutencion_2025.pdf,data/fuentes/hogares/indec/indec_estrategias_manutencion_2025.pdf,"Mezcla planes, subsidios y ayuda monetaria; no son beneficiarios únicos ni prestaciones. Cobertura geográfica 28 aglomerados en 2003 vs 31 en 2025."
S26_UNICOS_GAP,26,brecha,corte 2026-08-31,"Personas, prestaciones y hogares receptores",serie apples-to-apples,"Beneficiarios únicos, prestaciones, hogares y gasto real",,No disponible en una base integrada,,,,no disponible,alta sobre la brecha,Ministerio de Capital Humano,AUH y Tarjeta Alimentar: cobertura normativa de la CBA en 2024,https://www.argentina.gob.ar/node/450359,data/fuentes/manual_recovery_v96_final/capital_humano_auh_alimentar_cba_2024_web_snapshot.pdf,"Las fuentes locales no contienen identificadores anonimizados o conciliación entre AUH, Alimentar y otros programas para deduplicar."
S27_CBA_POLICY,27,hallazgo,2023-12 a 2024,Hogar tipo cubierto por AUH + Tarjeta Alimentar según comunicación oficial,cobertura normativa de canasta,AUH + Alimentar / CBA,100,,% de CBA,"54,8% en diciembre de 2023",beneficio normativo / CBA del hogar tipo,proxy,media,Ministerio de Capital Humano,AUH y Tarjeta Alimentar: cobertura normativa de la CBA en 2024,https://www.argentina.gob.ar/node/450359,data/fuentes/manual_recovery_v96_final/capital_humano_auh_alimentar_cba_2024_web_snapshot.pdf,"No es tasa de pobreza evitada ni efecto causal; no incorpora take-up, otros ingresos, composición real ni distribución por decil."
S27_MICROSIM_GAP,27,brecha,corte 2026-08-31,Personas/hogares EPH,microsimulación contrafactual,Pobreza sin AUH/sin Alimentar/sin jubilaciones,,No disponible,puntos porcentuales,,recalcular ingreso familiar por escenario y reponderar contra CBT/CBA,no disponible,alta sobre la brecha,INDEC,Incidencia de la pobreza y la indigencia en 31 aglomerados urbanos,https://www.indec.gob.ar/indec/web/Nivel4-Tema-4-46-152,data/fuentes/morosidad/metodologia/AUDITORIA_CAUSAS_MORA_POBREZA_DESEMPLEO.md,Faltan microdatos EPH y reglas de imputación/compatibilización de transferencias en el repositorio.
P28_IPC_GENERAL,28,hallazgo,2023-12 a 2026-07,IPC nacional,variación acumulada de índice,IPC general acumulado,241.79838,,%,,(índice jul-2026 / índice dic-2023 - 1) × 100,observado,alta,INDEC,"Índice de precios al consumidor. Series por divisiones, nacional",https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-5-31,data/fuentes/tasas/indec/serie_ipc_divisiones.csv,División o clasificación IPC; no es inflación de un hogar específico sin ponderaciones de su presupuesto.
P28_VIVIENDA,28,hallazgo,2023-12 a 2026-07,IPC nacional,variación acumulada de índice,"Vivienda, agua, electricidad, gas y otros combustibles",530.555399,,%,IPC general 241.8%,(índice jul-2026 / índice dic-2023 - 1) × 100,observado,alta,INDEC,"Índice de precios al consumidor. Series por divisiones, nacional",https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-5-31,data/fuentes/tasas/indec/serie_ipc_divisiones.csv,División o clasificación IPC; no es inflación de un hogar específico sin ponderaciones de su presupuesto.
P29_ALIMENTOS,29,hallazgo,2023-12 a 2026-07,IPC nacional,variación acumulada de índice,Alimentos y bebidas no alcohólicas,209.259957,,%,,(índice jul-2026 / índice dic-2023 - 1) × 100,observado,alta,INDEC,"Índice de precios al consumidor. Series por divisiones, nacional",https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-5-31,data/fuentes/tasas/indec/serie_ipc_divisiones.csv,División o clasificación IPC; no es inflación de un hogar específico sin ponderaciones de su presupuesto.
P29_NUCLEO,29,hallazgo,2023-12 a 2026-07,IPC nacional,variación acumulada de índice,IPC núcleo acumulado,221.698153,,%,,(índice jul-2026 / índice dic-2023 - 1) × 100,observado,alta,INDEC,"Índice de precios al consumidor. Series por divisiones, nacional",https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-5-31,data/fuentes/tasas/indec/serie_ipc_divisiones.csv,División o clasificación IPC; no es inflación de un hogar específico sin ponderaciones de su presupuesto.
P29_REGULADOS,29,hallazgo,2023-12 a 2026-07,IPC nacional,variación acumulada de índice,IPC regulados acumulado,415.861879,,%,,(índice jul-2026 / índice dic-2023 - 1) × 100,observado,alta,INDEC,"Índice de precios al consumidor. Series por divisiones, nacional",https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-5-31,data/fuentes/tasas/indec/serie_ipc_divisiones.csv,División o clasificación IPC; no es inflación de un hogar específico sin ponderaciones de su presupuesto.
P28_PERFILES_GAP,28,brecha,corte 2026-08-31,Perfiles inquilino/propietario/jubilado/familia con niños/etc.,índice Laspeyres por perfil,Tu inflación,,Escenario listo; no observado,%,,"Σ(peso perfil,rubro × variación índice rubro)",escenario,alta sobre la brecha,INDEC,"Índice de precios al consumidor. Series por divisiones, nacional",https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-5-31,data/fuentes/tasas/indec/serie_ipc_divisiones.csv,"Faltan ponderaciones observadas y fechadas por perfil; asignarlas ad hoc produciría escenarios, no medición."
P29_ESENCIALES_GAP,29,brecha,corte 2026-08-31,Hogares por decil,índice de esenciales,Esenciales ponderados por decil,,No disponible,%,,"Σ(peso decil,rubro esencial × variación índice rubro)",no disponible,alta sobre la brecha,INDEC,"Índice de precios al consumidor. Series por divisiones, nacional",https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-5-31,data/fuentes/tasas/indec/serie_ipc_divisiones.csv,"La serie por divisiones existe, pero faltan definición estable de esenciales y ponderaciones por decil."
