control_id,source_id,printed_page,pdf_page,rendered_check,result,inference_limit
PV148_25,e0_agn_resolution_86_2021_public_debt_control,16,16,"escalera SIGADE, mayorizado, formularios, TGN, CRyL y mayores",PASS,Control visual de atribución/página; no confirma pago target.
PV148_26,e0_agn_resolution_86_2021_public_debt_control,82,82,campos obligatorios y validación no aplicada,PASS,Control visual de atribución/página; no confirma pago target.
PV148_27,e0_agn_resolution_86_2021_public_debt_control,83,83,procedimientos omitidos y numeración Excel,PASS,Control visual de atribución/página; no confirma pago target.
PV148_28,e0_agn_report_65_2022_sigade_information_system,18,22,ciclo DADP y SIDIF-Link,PASS,Control visual de atribución/página; no confirma pago target.
PV148_29,e0_agn_report_65_2022_sigade_information_system,36,40,planillas compartidas y controles,PASS,Control visual de atribución/página; no confirma pago target.
PV148_30,e0_agn_report_65_2022_sigade_information_system,37,41,precisión decimal y adjuntos no utilizados,PASS,Control visual de atribución/página; no confirma pago target.
PV148_31,e0_agn_report_65_2022_sigade_information_system,38,42,rectificaciones fuera de SIGADE,PASS,Control visual de atribución/página; no confirma pago target.
PV148_32,e0_mecon_uai_report_24_2019_account_2018,5,5,Anexo L y divergencias SIGADE/e-SIDIF,PASS,Control visual de atribución/página; no confirma pago target.
PV148_33,e0_mecon_uai_report_24_2019_account_2018,6,6,acto de cierre y Anexos A-L,PASS,Control visual de atribución/página; no confirma pago target.
PV148_34,e0_mecon_uai_report_24_2019_account_2018,13,13,OTROS -563 y componentes 400/163,PASS,Control visual de atribución/página; no confirma pago target.
PV148_35,e0_mecon_uai_report_37_2023_account_2022,2,2,"límites SIGADE, planillas y carga manual",PASS,Control visual de atribución/página; no confirma pago target.
PV148_36,e0_mecon_uai_report_37_2023_account_2022,3,3,regularización de pagos fuera de SIGADE,PASS,Control visual de atribución/página; no confirma pago target.
PV148_37,e0_mecon_uai_report_48_2023_saf355_closure,5,5,expedientes y actas de corte SAF 355,PASS,Control visual de atribución/página; no confirma pago target.
PV148_38,e0_mecon_uai_report_48_2023_saf355_closure,7,7,pagos holdout e-SIDIF ausentes de SIGADE,PASS,Control visual de atribución/página; no confirma pago target.
PV148_39,e0_cgn_cuenta_inversion_2008_sdp,67,67,Anexo K y fila 83106000 con tres SIDIF,PASS,Control visual de atribución/página; no confirma pago target.
PV148_40,e0_cgn_account_2008_uepex_closing_exception,N/A,73,"listados parametrizados, consultas y regularización",PASS,Control de alcance; no confirma pago target.
PV148_41,e0_cgn_account_2008_uepex_closing_exception,N/A,76,excepción SAF355/356 aplicada en 2008,PASS,Control de alcance; no confirma pago target.
PV148_42,e0_mecon_uai_report_03_2022_saf355_closure_2021,2,2,integridad diferida e Informe Analítico referido,PASS,Control de alcance; no confirma pago target.
PV148_43,e0_mecon_uai_report_51_2022_account_2021,2,2,alcance ejecutivo e Informe Analítico,PASS,Control de alcance; no confirma pago target.
PV148_44,e0_mecon_uai_report_51_2022_account_2021,3,3,diferencias ONCP-CGN y pagos fuera de SIGADE,PASS,Control de alcance; no confirma pago target.
